gymnast_first_name,gymnast_last_name,comp_number,vault_d,vault_e,vault_score,bars_d,bars_e,bars_score,beam_d,beam_e,beam_score,floor_d,floor_e,floor_score,aa_score
Skye,Blakely,589,NA,NA,NA,5.5,7.066,12.566,6,7.7330000000000005,13.732999999999999,5.7,7.9,13.6,NA
Jade,Carey,590,5.6,9,14.6,5.4,7.933000000000001,13.333,5.4,7.7330000000000005,13.133,6.1,7.966,14.066,55.132000000000005
Jordan,Chiles,591,5,9.466000000000001,14.466000000000001,5.9,8.166,14.066,5.2,6.1659999999999995,11.366000000000001,5.8,8.3,14.1,53.998000000000005
Shilese,Jones,592,5,9.2,14.2,6.3,8.266,14.566,5.2,8,13.2,5.7,8.1,13.8,55.76599999999999
Leanne,Wong,593,5,8.766,13.766,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
