gymnast_first_name,gymnast_last_name,rank,comp_number,gym,vault_d,vault_e,vault_nd,vault_score,bars_d,bars_e,bars_nd,bars_score,beam_d,beam_e,beam_nd,beam_score,floor_d,floor_e,floor_nd,floor_score,aa_score
Simone,Biles,1,224,World Champions,6.4,9.8,-0.5,15.7,6,8.350000000000001,0,14.350000000000001,6.4,8.05,0,14.450000000000001,6.8,8.1,-0.1,14.8,59.3
Shilese,Jones,2,202,Ascend,5,9.350000000000001,0,14.350000000000001,6.3,8.6,0,14.9,5.8,7.6499999999999995,0,13.450000000000001,5.9,8.25,-0.1,14.05,56.75
Skye,Blakely,3,219,WOGA,5,9.350000000000001,0,14.350000000000001,5.9,8.5,0,14.4,6.1,7.95,0,14.05,5.6,7.4,-0.1,12.9,55.7
Leanne,Wong,4,218,U of Florida,5,9.25,0,14.25,5.7,8.3,0,14,5.8,7.95,0,13.75,5.6,7.85,-0.1,13.350000000000001,55.349999999999994
Jordan,Chiles,5,226,World Champions,5,9.3,0,14.3,5.9,8.3,0,14.2,5.2,7.8,0,13,5.6,7.6,-0.1,13.1,54.6
Kaliya,Lincoln,6,222,WOGA,5,9.1,0,14.1,5.3,7.5,-0.5,12.3,5.5,7.85,-0.1,13.25,6.1,8.25,0,14.350000000000001,54
Amelia,Disidore,7,205,GAGE,5,8.850000000000001,0,13.850000000000001,5.1,7.45,0,12.55,5.8,7.5,0,13.3,5.6,7.85,-0.1,13.350000000000001,53.05
Joscelyn,Roberson,8,228,World Champions,5.6,9.05,0,14.65,4.7,7.1,0,11.8,6,7.2,0,13.2,6.2,7.3,-0.2,13.3,52.949999999999996
Katelyn,Jong,9,210,Metroplex,5,8.850000000000001,0,13.850000000000001,6,8.05,0,14.05,5.5,6.35,0,11.850000000000001,5.6,7.55,0,13.15,52.9
Madray,Johnson,10,220,WOGA,4.6,8.950000000000001,0,13.55,5,7.9,0,12.9,5.7,7.8,0,13.5,5.1,7.8,0,12.9,52.849999999999994
Tiana,Sumanasekera,11,229,World Champions,5,9.2,0,14.2,5.4,6.1499999999999995,0,11.55,5.8,8.05,0,13.850000000000001,5.3,7.85,0,13.15,52.75
Addison,Fatta,12,214,Prestige,5,8.850000000000001,0,13.850000000000001,5.5,7.85,0,13.350000000000001,5.2,7.8,0,13,5.1,7.1,0,12.2,52.4
Alicia,Zhou,13,209,Love Gym,4.2,9,0,13.2,5.6,8.2,0,13.8,5,7.6,0,12.6,4.9,7.8,0,12.7,52.3
Myli,Lew,14,215,San Mateo,4.2,8.950000000000001,0,13.15,5.4,8.5,0,13.9,4.9,8.15,0,13.05,4.6,7.5,0,12.1,52.2
Nola,Matthews,15,201,Airborne,4.2,8.950000000000001,0,13.15,5.3,7.1,0,12.4,5.2,7.8,0,13,5.2,8.2,0,13.4,51.949999999999996
Marissa,Neal,16,207,GAGE,4.6,9,0,13.6,5.4,6.95,0,12.350000000000001,5,8,0,13,5.4,7.5,0,12.9,51.849999999999994
Eveylynn,Lowe,17T,206,GAGE,4.6,9.15,0,13.75,5,7.9,0,12.9,5.4,6.95,0,12.350000000000001,5.4,7.4,-0.1,12.7,51.7
Charlotte,Booth,17T,203,Brandy Johnsons,4.6,9,0,13.6,5.4,7.7,0,13.1,4.8,7.7,0,12.5,5.1,7.4,0,12.5,51.7
Kayla,DiCello,19T,208,Hills,5,9,0,14,5.2,7.1,0,12.3,5.5,6.2,0,11.7,5.5,8,0,13.5,51.5
Jade,Carey,19T,213,Oregon State,5.6,8.350000000000001,0,13.950000000000001,5.1,6.95,0,12.05,5.7,6.45,0,12.15,5.9,7.45,0,13.350000000000001,51.5
Ashlee,Sullivan,21T,223,WOGA,4.2,9,0,13.2,5.4,7.55,0,12.950000000000001,5.6,6.6,0,12.2,5.5,7.7,-0.1,13.1,51.449999999999996
Michelle,Pineda,21T,211,Metroplex,4.6,8.950000000000001,0,13.55,4.8,8,0,12.8,5,7.7,0,12.7,4.9,7.5,0,12.4,51.449999999999996
Dulcy,Caylor,23,225,World Champions,5,8.9,0,13.9,5,7,0,12,5.2,7,0,12.2,5.4,7.7,-0.2,12.9,51
Zoe,Miller,24,227,World Champions,4.6,8.55,0,13.15,5.3,6,-0.3,11,5.5,7.55,0,13.05,5,6.8,0,11.8,49
Kelise,Woolford,25,204,Buckeye,4.2,8.55,-0.3,12.450000000000001,4.5,7.85,0,12.350000000000001,5.1,6.7,0,11.8,4.9,7.25,0,12.15,48.75
Levi,Jung-Ruivivar,26,221,WOGA,4.6,8.8,0,13.4,5.3,6.7,0,12,4.9,7.4,0,12.3,5,6.1499999999999995,-0.6,10.55,48.25
Lexi,Zeiss,27,217,Twin City Twisters,4.6,8.850000000000001,0,13.450000000000001,5.9,7.8,0,13.7,0,0,0,0,0,0,0,0,27.150000000000002
Sunisa,Lee,28,212,Midwest,4.2,9.15,0,13.350000000000001,0,0,0,0,6,7.6499999999999995,0,13.65,0,0,0,0,27
Elle,Mueller,29,216,Twin City Twisters,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
