gymnast_first_name,gymnast_last_name,comp_number,vault_d,vault_e,vault_score,bars_d,bars_e,bars_score,beam_d,beam_e,beam_score,floor_d,floor_e,floor_score,aa_score
Simone,Biles,604,6.4,9.366000000000001,15.266,6,8.4,14.4,6.3,8.266,14.566,6.7,7.933000000000001,14.633,58.864999999999995
Skye,Blakely,605,NA,NA,NA,5.9,8.232999999999999,14.133,6,5.866,11.866000000000001,NA,NA,NA,NA
Shilese,Jones,607,5,9.266,14.266,6.4,8.433,14.833,5.9,8.133,14.033,5.7,8.1,13.8,56.932
Leanne,Wong,609,5,9.166,14.166,5.7,7.966,13.666,5.4,7.966,13.366000000000001,5.4,7.8,13.2,54.397999999999996
Joscelyn,Roberson,608,5.6,8.866000000000001,14.466000000000001,NA,NA,NA,NA,NA,NA,6.2,7.433000000000001,13.633,NA
